barcode,interview_id,field_species_id,Date,Time,capture_depth,lat,lon,length,recorded_mark,sampled,finsampled,sex,mature,rank,fisherman_id,port_id,fishermanport_id,vessel_id,fisherytype_id,fisherygroup_id,agency_id,bestestimate1,probability1,bestestimate2,probability2,bestestimate3,probability3,bestestimate4,probability4,bestestimate5,probability5,bestestimate6,probability6,bestestimate7,probability7,bestestimate8,probability8,bestestimate9,probability9,bestestimate10,probability10,bestestimate11,probability11,bestestimate12,probability12
29320,201100040,1,17-May-11,17:02:09,82.296,44.36018333,-124.6332,0.77,N,Y,,,U,13,61,,,59,11,100,1,U_Columbia_summer_fall,0.6045,L_Columbia_fall,0.2627,Mid_Oregon_Coast,0.0986,Snake_fall,0.0248,,0,,0,,0,,0,,0,,0,,0,,
32314,201100041,1,17-May-11,15:03:04,45.72,44.50738333,-124.3658167,0.91,N,Y,,,E,13,81,,,79,11,100,1,Central_Valley_fall,0.9774,Mid_Oregon_Coast,0.0216,,0,,0,,0,,0,,0,,0,,0,,0,,0,,
13002,201100042,1,22-May-11,10:14:40,54.864,45.7546,-124.1865,0.7,Y,Y,,,M,13,76,,,74,11,100,1,L_Columbia_fall,0.9604,Mid_Columbia_tule,0.0387,,0,,0,,0,,0,,0,,0,,0,,0,,0,,
11500,201100043,1,20-May-11,15:01:49,84.1248,44.38993333,-124.5359167,0.74,Y,Y,,,E,13,63,,,61,11,100,1,Central_Valley_fall,1,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,
32317,201100044,1,17-May-11,10:48:48,64.008,44.67425,-124.4075833,0.865,Y,Y,,,E,13,68,,,66,11,100,1,U_Columbia_summer_fall,0.99,Mid_Oregon_Coast,0.0072,,0,,0,,0,,0,,0,,0,,0,,0,,0,,
20810,201100048,1,17-May-11,10:28:50,82.296,43.28073333,-124.5415667,0.88,Y,Y,,,E,13,1023,,,232,11,100,1,Snake_fall,0.7567,U_Columbia_summer_fall,0.2432,,0,,0,,0,,0,,0,,0,,0,,0,,0,,
32313,201100049,1,17-May-11,17:07:10,36.576,44.55453333,-124.3903333,0.88,N,Y,,,U,12,82,,,80,11,100,1,Central_Valley_fall,0.9939,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,
21166,201100083,1,28-May-11,12:46:44,129.8448,44.69358,-124.55647,0.82,N,Y,,,E,12,68,,,66,11,100,1,Mid_Oregon_Coast,0.9438,L_Columbia_fall,0.0539,,0,,0,,0,,0,,0,,0,,0,,0,,0,,
20726,201100051,1,21-May-11,12:04:40,118.872,43.50796667,-124.5322,0.82,N,Y,,,E,12,17,,,17,11,100,1,Mid_Oregon_Coast,0.9991,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,
20805,201100052,1,21-May-11,8:39:11,36.576,43.24188333,-124.5494333,0.77,Y,Y,,,M,,22,,,22,11,100,1,N_Oregon_Coast,0.4435,Mid_Oregon_Coast,0.3409,N_Puget_Sound,0.1701,Deschutes_fall,0.0195,L_Columbia_fall,0.0099,U_Columbia_summer_fall,0.0066,,0,,0,,0,,0,,0,,
33289,201100054,1,23-May-11,14:18:35,87.7824,44.38878333,-124.6023167,0.78,N,Y,,,U,13,61,,,59,11,100,1,Mid_Oregon_Coast,0.8746,Rogue,0.1183,,0,,0,,0,,0,,0,,0,,0,,0,,0,,
18449,201100055,1,24-May-11,8:58:56,73.152,43.3,-124.5312833,0.73,N,Y,,,E,13,16,,,16,11,100,1,Mid_Oregon_Coast,0.925,Rogue,0.0549,U_Columbia_summer_fall,0.0122,,0,,0,,0,,0,,0,,0,,0,,0,,
13537,201100056,1,22-May-11,12:22:03,87.7824,43.34423333,-124.46015,0.87,N,Y,,,M,13,512,,,307,11,100,1,Mid_Oregon_Coast,0.9998,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,
21671,201100057,1,15-May-11,7:50:03,43.8912,43.60406667,-124.2825167,0.81,N,Y,,,E,13,143,,,138,11,100,1,U_Columbia_summer_fall,0.9833,Deschutes_fall,0.013,,0,,0,,0,,0,,0,,0,,0,,0,,0,,
34019,201100059,1,15-May-11,7:54:06,23.7744,43.65758333,-124.2396833,0.75,X,Y,,,E,13,514,,,233,11,100,1,L_Columbia_fall,0.5754,Mid_Columbia_tule,0.4246,,0,,0,,0,,0,,0,,0,,0,,0,,0,,
14922,201100060,1,16-May-11,9:01:11,89.6112,43.5565,-124.3035167,0.74,N,Y,,,E,13,147,,,142,11,100,1,Central_Valley_fall,0.92,U_Columbia_summer_fall,0.0714,,0,,0,,0,,0,,0,,0,,0,,0,,0,,
22408,201100061,1,22-May-11,7:38:07,43.8912,43.61683333,-124.28245,0.82,N,Y,,,E,13,143,,,138,11,100,1,Central_Valley_fall,0.9945,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,
20501,201100063,1,22-May-11,11:00:11,40.2336,43.6264,-124.32045,0.75,N,Y,,,E,13,149,,,144,11,100,1,Central_Valley_fall,0.9993,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,
17984,201100064,1,21-May-11,7:20:29,65.8368,43.68316667,-124.2867667,0.83,Y,Y,,,E,13,140,,,135,11,100,1,Willamette,0.9526,U_Columbia_summer_fall,0.0408,,0,,0,,0,,0,,0,,0,,0,,0,,0,,
5692,201100066,1,20-May-11,8:30:00,54.864,43.72368,-124.28683,0.84,N,Y,,,X,12,140,,,135,11,100,1,Central_Valley_spring,0.5798,Central_Valley_fall,0.4201,,0,,0,,0,,0,,0,,0,,0,,0,,0,,
32306,201100068,1,23-May-11,7:43:17,49.3776,43.31078,-124.49673,0.86,N,Y,,,E,13,1023,,,232,11,100,1,U_Columbia_summer_fall,0.9384,Snake_fall,0.0389,Deschutes_fall,0.0225,,0,,0,,0,,0,,0,,0,,0,,0,,
34279,201100070,1,21-May-11,14:34:59,43.8912,43.21715,-124.56803,0.84,N,Y,,,E,13,19,,,344,11,100,1,N_California_S_Oregon_Coast,0.9859,Mid_Oregon_Coast,0.0093,,0,,0,,0,,0,,0,,0,,0,,0,,0,,
20076,201100073,1,17-May-11,15:08:06,80.4672,44.38985,-124.52918,0.75,Y,Y,,,M,12,63,,,61,11,100,1,U_Columbia_summer_fall,0.9269,Snake_fall,0.0701,,0,,0,,0,,0,,0,,0,,0,,0,,0,,
6023,201100074,1,15-May-11,7:25:00,23.7744,44.63053,-124.04155,0.76,N,Y,,,U,13,1163,,,341,11,100,1,Central_Valley_fall,0.9634,Snake_fall,0.0321,,0,,0,,0,,0,,0,,0,,0,,0,,0,,
22144,201100075,1,20-May-11,13:51:05,18.288,43.68745,-124.21985,0.82,N,Y,,,E,13,1163,,,341,11,100,1,Central_Valley_fall,1,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,
1226,201100086,1,31-May-11,15:31:49,118.872,44.73897,-124.54613,0.8,N,Y,,,U,11,76,,,74,11,100,1,L_Fraser,0.9681,Mid_U_Columbia_spring,0.0163,Taku,0.0048,Mid_Oregon_Coast,0.0047,,0,,0,,0,,0,,0,,0,,0,,
33538,201100078,1,17-May-11,16:05:00,36.576,44.55668,-124.1399,0.77,Y,Y,,,E,11,87,,,85,11,100,1,Mid_Columbia_tule,0.6187,L_Columbia_fall,0.3807,,0,,0,,0,,0,,0,,0,,0,,0,,0,,
34003,201100079,1,22-May-11,12:12:53,13.716,44.31703,-124.14652,0.73,Y,Y,,,E,13,82,,,80,11,100,1,Mid_Columbia_tule,0.9989,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,
32316,201100080,1,20-May-11,20:22:20,56.6928,44.66435,-124.4071,0.743,Y,Y,,,E,13,68,,,66,11,100,1,Snake_fall,0.8634,U_Columbia_summer_fall,0.1351,,0,,0,,0,,0,,0,,0,,0,,0,,0,,
34248,201100088,1,31-May-11,19:26:13,128.016,44.6092,-124.5749333,0.76,N,Y,,,E,12,119,,,115,11,100,1,L_Columbia_fall,0.6301,U_Columbia_summer_fall,0.2301,Snake_fall,0.0664,Washington_Coast,0.0466,Mid_Oregon_Coast,0.0167,S_Thompson,0.0094,,0,,0,,0,,0,,0,,
CA20301,201100090,1,01-May-11,14:34:44,5.4864,38.2405,-123.03133,0.85,N,,Y,,X,,1158,,,340,11,100,2,Snake_fall,100,U_Columbia_summer_fall,0,Deschutes_fall,0,,,,,,,,,,,,,,,,,,
20930,201100092,1,31-May-11,10:58:13,128.016,44.70608,-124.50048,0.87,N,Y,,,E,12,87,,,85,11,100,1,U_Columbia_summer_fall,0.8957,Mid_Oregon_Coast,0.0844,Rogue,0.0145,,0,,0,,0,,0,,0,,0,,0,,0,,
30869,201100093,1,30-May-11,7:11:19,137.16,44.6329,-124.53097,0.76,Y,Y,,,E,11,84,,,82,11,100,1,L_Columbia_fall,0.4504,Klamath,0.3606,Mid_Oregon_Coast,0.1262,Snake_fall,0.0232,Rogue,0.0221,U_Columbia_summer_fall,0.0165,,0,,0,,0,,0,,0,,
13534,201100097,1,04-Jun-11,8:48:53,95.0976,43.30902,-124.52737,0.83,N,Y,,,U,12,512,,,307,11,100,1,Snake_fall,0.6392,Deschutes_fall,0.1851,Central_Valley_fall,0.1324,U_Columbia_summer_fall,0.0402,,0,,0,,0,,0,,0,,0,,0,,
20097,201100098,1,31-May-11,8:56:38,27.432,43.27875,-124.5448,0.93,Y,Y,,,M,12,22,,,22,11,100,1,Central_Valley_fall,0.9989,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,
CA24202,201100102,1,12-May-11,9:52:51,,36.82637,-121.94825,0.81,Y,,N,,X,,1181,,,358,11,100,2,Central_Valley_fall,99.999,Central_Valley_spring,0,0,0,,,,,,,,,,,,,,,,,,
CA20310,201100108,1,26-May-11,8:41:48,118.872,38.2676,-123.38328,0.66,N,,Y,,X,,1158,,,340,11,100,2,California_Coast,100,0,0,0,0,,,,,,,,,,,,,,,,,,
CA18015,201100109,1,24-May-11,11:47:19,69.4944,36.80343,-121.88462,0.9,N,,Y,,E,,1140,,,329,11,100,2,California_Coast,74.432,N_California_S_Oregon_Coast,12.865,Rogue,12.702,,,,,,,,,,,,,,,,,,
32482,201100115,1,28-May-11,10:19:38,95.0976,43.28808,-124.53588,0.88,N,Y,,,U,13,517,,,202,11,100,1,Mid_Oregon_Coast,0.9475,N_Puget_Sound,0.0275,N_Oregon_Coast,0.0152,,0,,0,,0,,0,,0,,0,,0,,0,,
CA17301,201100126,1,15-May-11,9:12:10,73.152,38.24367,-123.35518,0.77,N,,Y,,U,,1177,,,354,11,100,2,Central_Valley_fall,99.823,Central_Valley_spring,0.177,0,0,,,,,,,,,,,,,,,,,,
11697,201100171,1,08-Jun-11,7:44:54,54.864,44.51031667,-124.36005,0.82,N,Y,,,U,10,511,,,126,11,100,1,U_Columbia_summer_fall,0.4764,Mid_Oregon_Coast,0.3188,Snake_fall,0.202,,0,,0,,0,,0,,0,,0,,0,,0,,
21151,201100170,1,08-Jun-11,8:28:37,27.432,44.60431667,-124.3745,0.8,N,Y,,,E,13,68,,,66,11,100,1,U_Columbia_summer_fall,0.9946,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,
11579,201100169,1,06-Jun-11,16:02:12,29.2608,44.3282,-124.1384833,0.75,Y,Y,,,U,13,102,,,99,11,100,1,Mid_Columbia_tule,0.9636,L_Columbia_fall,0.0364,,0,,0,,0,,0,,0,,0,,0,,0,,0,,
CA17136,201100131,1,31-May-11,8:11:15,93.2688,38.30851667,-123.3814833,0.89,N,,Y,,U,,1099,,,300,11,100,2,Central_Valley_fall,100,Central_Valley_spring,0,0,0,,,,,,,,,,,,,,,,,,
CA17101,201100132,1,26-May-11,8:19:24,38.4048,38.26116667,-123.3717167,0.71,N,,Y,,U,,1099,,,300,11,100,2,California_Coast,99.966,N_California_S_Oregon_Coast,0.034,0,0,,,,,,,,,,,,,,,,,,
20779,201100133,1,04-Jun-11,11:47:51,62.1792,43.16796667,-124.5608833,0.88,Y,Y,,,M,13,28,,,28,11,100,1,Central_Valley_fall,0.9934,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,
13705,201100134,1,04-Jun-11,6:58:11,91.44,43.25533333,-124.5750667,0.78,N,Y,,,U,13,517,,,202,11,100,1,Rogue,0.9216,Mid_Oregon_Coast,0.0782,,0,,0,,0,,0,,0,,0,,0,,0,,0,,
CA21401,201100172,1,01-May-11,7:23:37,36.576,36.82386667,-121.9846833,0.75,N,,Y,,X,,1058,,,259,11,100,2,Central_Valley_fall,100,Central_Valley_spring,0.002,0,0,,,,,,,,,,,,,,,,,,
CA24500,201100136,1,15-May-11,16:05:46,73.152,35.11075,-120.8007167,0.78,N,,Y,,U,,1067,,,268,11,100,2,Central_Valley_fall,98.966,Central_Valley_spring,1.034,0,0,,,,,,,,,,,,,,,,,,
13226,201100166,1,05-Jun-11,15:15:47,137.16,44.74403333,-124.5545,0.72,N,Y,,,U,13,76,,,74,11,100,1,Rogue,0.9925,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,
4813,201100151,1,06-Jun-11,6:12:57,109.728,43.65058333,-124.4576667,0.8,N,Y,,,M,13,1026,,,229,11,100,1,Klamath,0.7626,Rogue,0.203,Mid_Oregon_Coast,0.0344,,0,,0,,0,,0,,0,,0,,0,,0,,
CA23801,201100157,1,19-May-11,10:45:39,91.44,36.84455,-122.0582833,0.82,N,,Y,,X,,1095,,,296,11,100,2,California_Coast,99.527,N_California_S_Oregon_Coast,0.472,Mid_Oregon_Coast,0,,,,,,,,,,,,,,,,,,
CA24001,201100158,1,16-May-11,11:09:58,54.864,35.1247,-120.8198333,0.76,Y,,Y,,X,,1176,,,353,11,100,2,Central_Valley_fall,98.3,Central_Valley_spring,1.7,0,0,,,,,,,,,,,,,,,,,,
CA20601,201100160,1,01-May-11,10:47:00,98.7552,38.2069,-123.3565333,0.74,N,,Y,,X,,1034,,,240,11,100,2,Central_Valley_fall,99.467,Central_Valley_spring,0.533,L_Columbia_spring,0,,,,,,,,,,,,,,,,,,
CA20401,201100161,1,15-May-11,7:26:45,49.3776,38.26278333,-123.2578667,0.82,N,,Y,,M,,1090,,,291,11,100,2,Snake_fall,97.556,U_Columbia_summer_fall,2.442,Mid_Oregon_Coast,0.001,,,,,,,,,,,,,,,,,,
17192,201100164,1,06-Jun-11,7:30:58,91.44,43.81376667,-124.3865333,0.97,N,N,,,M,11,538,,,361,11,100,1,N_California_S_Oregon_Coast,0.7474,Rogue,0.1155,Klamath,0.0912,Mid_Oregon_Coast,0.0454,,0,,0,,0,,0,,0,,0,,0,,
CA20801,201100165,1,01-May-11,13:11:34,27.432,38.28715,-123.0823667,0.69,Y,,Y,,X,,1049,,,254,11,100,2,Central_Valley_fall,99.999,Central_Valley_spring,0.001,0,0,,,,,,,,,,,,,,,,,,
CA23301,201100167,1,24-May-11,12:30:23,87.7824,36.84923333,-122.0403667,0.75,N,,Y,,U,,1069,,,270,11,100,2,Central_Valley_fall,100,Central_Valley_spring,0,0,0,,,,,,,,,,,,,,,,,,
CA17402,201100168,1,21-May-11,7:35:34,64.008,36.75616667,-121.9047833,0.71,N,,Y,,X,,1142,,,331,11,100,2,Central_Valley_fall,100.002,Central_Valley_spring,0,0,0,,,,,,,,,,,,,,,,,,
CA21701,201100174,1,11-May-11,10:10:12,38.4048,37.25318333,-122.6499333,0.78,N,,Y,,U,,1066,,,267,11,100,2,Central_Valley_fall,100,Central_Valley_spring,0,0,0,,,,,,,,,,,,,,,,,,
CA18901,201100175,1,12-May-11,8:36:50,10.9728,37.25088333,-122.5469333,0.75,N,,Y,,X,,1035,,,241,11,100,2,Central_Valley_fall,100,Central_Valley_spring,0,0,0,,,,,,,,,,,,,,,,,,
CA22601,201100177,1,01-May-11,10:09:53,36.576,36.84268333,-122.0729167,0.785,N,,Y,,X,,1169,,,348,11,100,2,Central_Valley_fall,99.999,Central_Valley_spring,0,0,0,,,,,,,,,,,,,,,,,,
33391,201100178,1,09-Jun-11,11:24:08,64.008,44.5301,-124.37645,0.76,N,Y,,,E,13,113,,,109,11,100,1,Rogue,0.9673,Mid_Oregon_Coast,0.0287,,0,,0,,0,,0,,0,,0,,0,,0,,0,,
20953,201100179,1,10-Jun-11,14:34:39,76.8096,44.65111667,-124.4235833,0.79,Y,Y,,,E,13,63,,,61,11,100,1,L_Columbia_spring,0.3397,Snake_fall,0.3044,Willamette,0.1649,Mid_Oregon_Coast,0.1575,U_Columbia_summer_fall,0.0079,N_Oregon_Coast,0.0066,L_Columbia_fall,0.0062,Taku,0.0059,,0,,0,,0,,
30771,201100180,1,06-Jun-11,15:23:49,128.016,43.49735,-124.4766,0.84,Y,Y,,,E,13,36,,,35,11,100,1,Mid_Oregon_Coast,0.5684,U_Columbia_summer_fall,0.4279,,0,,0,,0,,0,,0,,0,,0,,0,,0,,
13702,201100181,1,12-Jun-11,12:40:23,64.008,43.46168333,-124.4572667,0.8,N,Y,,,E,13,16,,,16,11,100,1,L_Columbia_fall,0.7955,U_Columbia_summer_fall,0.2031,,0,,0,,0,,0,,0,,0,,0,,0,,0,,
32262,201100184,1,11-Jun-11,19:30:35,54.864,44.07851667,-124.4683167,0.81,N,Y,,,U,9,61,,,59,11,100,1,Mid_Oregon_Coast,0.8201,L_Columbia_fall,0.1044,N_Oregon_Coast,0.0532,Mid_Columbia_tule,0.0085,U_Columbia_summer_fall,0.0081,,0,,0,,0,,0,,0,,0,,
11585,201100192,1,13-Jun-11,8:02:55,91.44,44.18336667,-124.4848167,0.8,Y,Y,,,E,13,102,,,99,11,100,1,Snake_fall,0.4593,U_Columbia_summer_fall,0.4588,Deschutes_fall,0.0761,,0,,0,,0,,0,,0,,0,,0,,0,,
11554,201100194,1,09-Jun-11,9:58:58,45.72,44.50115,-124.35515,0.83,N,Y,,,E,13,87,,,85,11,100,1,L_Columbia_fall,0.9871,Mid_Columbia_tule,0.011,,0,,0,,0,,0,,0,,0,,0,,0,,0,,
11502,201100195,1,09-Jun-11,13:24:56,96.9264,44.67595,-124.4268,0.74,N,Y,,,E,13,126,,,122,11,100,1,Mid_Oregon_Coast,0.9711,N_Oregon_Coast,0.0261,,0,,0,,0,,0,,0,,0,,0,,0,,0,,
28785,201100188,1,11-Jun-11,6:35:34,58.5216,44.52145,-124.32085,0.8,N,Y,,,X,13,511,,,126,11,100,1,L_Columbia_spring,0.521,L_Columbia_fall,0.1999,Deschutes_fall,0.1679,N_Puget_Sound,0.1031,,0,,0,,0,,0,,0,,0,,0,,
20033,201100196,1,08-Jun-11,10:28:55,118.872,43.64335,-124.4552667,0.81,N,Y,,,M,13,96,,,223,11,100,1,Klamath,0.803,Rogue,0.1268,L_Columbia_fall,0.0452,Mid_Oregon_Coast,0.0217,,0,,0,,0,,0,,0,,0,,0,,
13550,201100197,1,12-Jun-11,9:57:32,73.152,43.47123333,-124.4377667,0.83,Y,Y,,,E,10,17,,,17,11,100,1,Mid_Oregon_Coast,0.9994,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,
13824,201100198,1,12-Jun-11,9:55:22,126.1872,43.44958333,-124.5217667,0.85,N,Y,,,U,13,27,,,27,11,100,1,U_Columbia_summer_fall,0.8853,Mid_Columbia_tule,0.112,,0,,0,,0,,0,,0,,0,,0,,0,,0,,
13737,201100200,1,12-Jun-11,11:00:00,73.152,43.55961667,-124.4406833,0.78,N,Y,,,E,13,1023,,,232,11,100,1,Washington_Coast,0.9982,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,
9855,201100201,1,14-Jun-11,7:01:55,111.5568,43.70651667,-124.4152,0.82,Y,Y,,,M,12,147,,,142,11,100,1,Central_Valley_fall,0.5766,U_Columbia_summer_fall,0.249,Snake_fall,0.1735,,0,,0,,0,,0,,0,,0,,0,,0,,
5657,201100202,1,12-Jun-11,9:28:36,137.16,43.68686667,-124.42065,0.8,Y,Y,,,U,12,1187,,,65,11,100,1,Klamath,0.9969,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,
22396,201100203,1,12-Jun-11,8:47:30,146.304,43.44696667,-124.56925,0.77,N,Y,,,E,11,140,,,135,11,100,1,U_Columbia_summer_fall,0.5136,Snake_fall,0.4612,Deschutes_fall,0.0252,,0,,0,,0,,0,,0,,0,,0,,0,,
34578,201100204,1,14-Jun-11,9:38:49,104.2416,43.69403333,-124.4613833,0.88,N,Y,,,E,13,139,,,134,11,100,1,Mid_Oregon_Coast,1,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,
34372,201100205,1,13-Jun-11,9:47:16,73.152,43.65298333,-124.4630167,0.94,N,Y,,,M,12,538,,,361,11,100,1,U_Columbia_summer_fall,0.4629,Central_Valley_fall,0.3851,Snake_fall,0.1508,,0,,0,,0,,0,,0,,0,,0,,0,,
34346,201100206,1,13-Jun-11,15:49:53,25.6032,43.72563333,-124.2210167,0.76,Y,Y,,,U,13,1163,,,341,11,100,1,L_Columbia_fall,0.6072,Central_Valley_fall,0.2599,Mid_Oregon_Coast,0.0618,Washington_Coast,0.0484,N_Puget_Sound,0.0126,L_Columbia_spring,0.0087,,0,,0,,0,,0,,0,,
21680,201100207,1,12-Jun-11,7:25:24,80.4672,43.68403333,-124.4274167,0.77,N,Y,,,M,13,143,,,138,11,100,1,Central_Valley_fall,1,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,
22464,201100208,1,12-Jun-11,7:09:38,128.016,43.64666667,-124.4658833,0.87,N,Y,,,E,12,1026,,,229,11,100,1,L_Columbia_fall,0.9918,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,
33280,201100209,1,13-Jun-11,15:09:00,109.728,45.67191667,-124.2812167,0.94,N,Y,,,M,13,84,,,82,11,100,1,U_Columbia_summer_fall,0.9868,S_Thompson,0.0128,,0,,0,,0,,0,,0,,0,,0,,0,,0,,
CA23605,201100216,1,10-May-11,12:51:11,56.6928,37.22485,-122.5274833,0.83,N,,Y,,X,,1040,,,246,11,100,2,Central_Valley_fall,100,Central_Valley_spring,0,0,0,,,,,,,,,,,,,,,,,,
28929,201100213,1,07-Jun-11,17:13:53,182.88,44.8566,-124.4714167,0.79,N,Y,,,E,11,1189,,,81,11,100,1,Mid_Oregon_Coast,0.9275,U_Columbia_summer_fall,0.0666,,0,,0,,0,,0,,0,,0,,0,,0,,0,,
13111,201100218,1,14-Jun-11,10:41:31,65.8368,44.50966667,-124.3645167,0.74,N,Y,,,E,13,123,,,119,11,100,1,U_Columbia_summer_fall,0.9672,Deschutes_fall,0.0191,Snake_fall,0.0136,,0,,0,,0,,0,,0,,0,,0,,0,,
11744,201100219,1,14-Jun-11,6:36:20,58.5216,44.51556667,-124.3537167,0.92,N,Y,,,E,11,511,,,126,11,100,1,S_Puget_Sound,0.4626,N_Puget_Sound,0.1675,Hood_Canal,0.1633,Rogue,0.1481,U_Columbia_summer_fall,0.0363,N_California_S_Oregon_Coast,0.011,Mid_Oregon_Coast,0.0069,,0,,0,,0,,0,,
30615,201100316,1,17-Jul-11,10:19:34,151.7904,43.34208333,-124.48045,1.01,N,Y,,,X,13,27,,,27,11,100,1,Mid_Oregon_Coast,0.8867,U_Columbia_summer_fall,0.0542,Rogue,0.0293,Snake_fall,0.0274,,0,,0,,0,,0,,0,,0,,0,,
30615,201100316,1,17-Jul-11,10:19:34,151.7904,43.34208333,-124.48045,1.01,N,Y,,,X,1,27,,,27,11,100,1,Mid_Oregon_Coast,0.8867,U_Columbia_summer_fall,0.0542,Rogue,0.0293,Snake_fall,0.0274,,0,,0,,0,,0,,0,,0,,0,,
28830,201100221,1,13-Jun-11,17:55:47,100.584,43.69526667,-124.4656333,0.75,N,Y,,,E,13,96,,,223,11,100,1,Mid_Oregon_Coast,0.9998,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,
22313,201100222,1,20-Jun-11,9:42:15,137.16,43.31043333,-124.62735,0.84,N,Y,,,E,10,140,,,135,11,100,1,U_Columbia_summer_fall,0.929,Snake_fall,0.0688,,0,,0,,0,,0,,0,,0,,0,,0,,0,,
21675,201100223,1,19-Jun-11,8:19:04,73.152,43.69373333,-124.4149833,0.9,N,Y,,,M,13,143,,,138,11,100,1,Mid_Oregon_Coast,0.689,Washington_Coast,0.2957,Central_Valley_spring,0.0056,,0,,0,,0,,0,,0,,0,,0,,0,,
34321,201100224,1,17-Jun-11,11:00:07,91.44,43.73116667,-124.4872,0.79,N,Y,,,E,13,149,,,144,11,100,1,Mid_Oregon_Coast,0.681,N_Oregon_Coast,0.2773,N_Puget_Sound,0.0213,Washington_Coast,0.0188,,0,,0,,0,,0,,0,,0,,0,,
13117,201100225,1,20-Jun-11,12:15:21,60.3504,44.51298333,-124.3649,0.88,N,Y,,,E,13,123,,,119,11,100,1,U_Columbia_summer_fall,0.9999,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,
34386,201100226,1,17-Jun-11,10:36:23,36.576,43.64518333,-124.4571,0.915,N,Y,,,M,13,538,,,361,11,100,1,Mid_Oregon_Coast,0.9862,N_Oregon_Coast,0.0128,,0,,0,,0,,0,,0,,0,,0,,0,,0,,
